Chaotic Debug Session
sessionId=moks2nkq-eyeoy3
startedAt=2026-04-30T01:01:02.810Z
url=http://localhost:3000/index.html?view=battle
userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0
---
{"type":"session_start","payload":{"url":"http://localhost:3000/index.html?view=battle","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0","settings":{"schemaVersion":1,"updatedAt":"2026-04-30T00:57:46.525Z","screen":{"fullscreenAuto":true,"resolution":"low"},"audio":{"enabled":true,"master":100,"sfx":100,"music":15},"language":{"cards":"pt","ui":"pt"},"gameplay":{"animations":true,"hints":false},"controls":{"mouseSensitivity":100,"keybinds":{"confirmAction":"Enter","confirmAttack":"Space","autoStep":"KeyN","switchBuilder":"Digit1","switchBattle":"Digit2","switchSettings":"Digit3","cancel":"Escape"}},"extras":{"theme":"dark","fpsCounter":true,"debugMode":true},"musicPlayer":{"enabled":true,"loopTrack":false,"lastTrackIndex":6,"volume":48}}}}
{"at":"2026-04-30T01:01:02.812Z","type":"debug","message":"Debug mode enabled.","payload":null}
{"at":"2026-04-30T01:01:02.977Z","type":"music","message":"play","payload":{"track":"Unknown Territory"}}
{"at":"2026-04-30T01:01:09.802Z","type":"battle_log","message":"Partida iniciada.","payload":null}
{"at":"2026-04-30T01:01:09.802Z","type":"battle_log","message":"Jogador 1 comeca a partida.","payload":null}
{"at":"2026-04-30T01:01:09.802Z","type":"battle_log","message":"Perfil de regras: official_master.","payload":null}
{"at":"2026-04-30T01:01:09.802Z","type":"battle_log","message":"Turno 1 - Jogador 1.","payload":null}
{"at":"2026-04-30T01:01:09.802Z","type":"battle_log","message":"Location: Mipedim Oasis.","payload":null}
{"at":"2026-04-30T01:01:09.802Z","type":"battle_log","message":"Janela de prioridade (pre_move_priority): escolha um efeito ou passe.","payload":null}
{"at":"2026-04-30T01:01:11.361Z","type":"battle_log","message":"Jogador 1 passa prioridade.","payload":null}
{"at":"2026-04-30T01:01:11.361Z","type":"battle_log","message":"[noop_filtered_context] Mugic Song of Desperation: sem alvo valido para statModifier.","payload":null}
{"at":"2026-04-30T01:01:13.999Z","type":"battle_log","message":"Jogador 1 move Headmaster Ankhyja para H e inicia combate.","payload":null}
{"at":"2026-04-30T01:01:13.999Z","type":"battle_log","message":"Jogador 1: Burithean Axe revelado no inicio do combate.","payload":null}
{"at":"2026-04-30T01:01:13.999Z","type":"battle_log","message":"Jogador 2: Dread Tread revelado no inicio do combate.","payload":null}
{"at":"2026-04-30T01:01:13.999Z","type":"battle_log","message":"Jogador 2 vence a iniciativa.","payload":null}
{"at":"2026-04-30T01:01:13.999Z","type":"battle_log","message":"[passive] Jogador 2 - Uksum: 1 efeito(s) aplicado(s) automaticamente.","payload":null}
{"at":"2026-04-30T01:01:13.999Z","type":"battle_log","message":"Jogador 2 joga Combustion Carnage.","payload":null}
{"at":"2026-04-30T01:01:13.999Z","type":"battle_log","message":"Jogador 2 ativa Song of Desperation (custo pago 1 MC, slot 5).","payload":null}
{"at":"2026-04-30T01:01:13.999Z","type":"battle_log","message":"Jogador 2 coloca Song of Desperation na pilha.","payload":null}
{"at":"2026-04-30T01:01:13.999Z","type":"battle_log","message":"Janela de prioridade (attack_burst): escolha um efeito ou passe.","payload":null}
{"at":"2026-04-30T01:01:15.035Z","type":"battle_log","message":"Jogador 1 passa prioridade.","payload":null}
{"at":"2026-04-30T01:01:15.035Z","type":"battle_log","message":"Jogador 2 ativa Canon of Casualty (custo pago 1 MC, slot 4).","payload":null}
{"at":"2026-04-30T01:01:15.035Z","type":"battle_log","message":"Jogador 2 coloca Canon of Casualty na pilha.","payload":null}
{"at":"2026-04-30T01:01:15.035Z","type":"battle_log","message":"Janela de prioridade (attack_burst): escolha um efeito ou passe.","payload":null}
{"at":"2026-04-30T01:01:15.478Z","type":"battle_log","message":"Jogador 1 passa prioridade.","payload":null}
{"at":"2026-04-30T01:01:15.478Z","type":"battle_log","message":"Jogador 2 ativa Discord of Disarming (custo pago 1 MC, slot 3).","payload":null}
{"at":"2026-04-30T01:01:15.478Z","type":"battle_log","message":"Jogador 2 coloca Discord of Disarming na pilha.","payload":null}
{"at":"2026-04-30T01:01:15.478Z","type":"battle_log","message":"Janela de prioridade (attack_burst): escolha um efeito ou passe.","payload":null}
{"at":"2026-04-30T01:01:15.777Z","type":"battle_event","message":"defeat","payload":{"playerIndex":1,"unitId":"1:creatures:fun:uksum:678:4"}}
{"at":"2026-04-30T01:01:15.777Z","type":"battle_event","message":"damage","payload":null}
{"at":"2026-04-30T01:01:18.588Z","type":"battle_log","message":"Jogador 1 passa prioridade.","payload":null}
{"at":"2026-04-30T01:01:18.588Z","type":"battle_log","message":"Resolve (LIFO): Mugic Discord of Disarming.","payload":null}
{"at":"2026-04-30T01:01:18.588Z","type":"battle_log","message":"Jogador 2: Whepcrack removido (foi destruido)","payload":null}
{"at":"2026-04-30T01:01:18.588Z","type":"battle_log","message":"Resolve (LIFO): Mugic Canon of Casualty.","payload":null}
{"at":"2026-04-30T01:01:18.588Z","type":"battle_log","message":"Resolve (LIFO): Mugic Song of Desperation.","payload":null}
{"at":"2026-04-30T01:01:18.588Z","type":"battle_log","message":"Jogador 2 ativa 0 elemento(s) no ataque.","payload":null}
