Carta=Allmageddon | Tipo=Attack | Set=DOP | EfeitoOficial=Sem texto de habilidade impresso. | Funcionamento=Ataque sem texto adicional: aplica apenas os danos impressos (base/elementais) na resolução do ataque. | Dano={base:10,fire:10,water:10,air:10,earth:10,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Aqua Shield | Tipo=Battlegear | Set=DOP | EfeitoOficial=Equipped Creature has an additional 5 Energy. Sacrifice Aqua Shield: Heal 15 damage to target Creature. | Funcionamento=Efeito oficial: "Equipped Creature has an additional 5 Energy. Sacrifice Aqua Shield: Heal 15 damage to target Creature.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: healDamage, statModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:energy,combate:N/A,alvo:creature:all, creature:self} | Custos={mc:0,ativacao:Sacrifice Aqua Shield,sacrificio:sim,descarte:nao,passivo:nao,sem_custo:nao} | Classificacao=ativo,continuo | TriggerExato=activated_ability | Alvos=creature:all, creature:self | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=continuo_enquanto_fonte_valida
Carta=Arias | Tipo=Creature | Set=DOP | EfeitoOficial=Support: Power 5. | Funcionamento=Efeito oficial: "Support: Power 5.". Em regras, resolve na janela definida pelo texto, gerando: statModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:power,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Ario | Tipo=Creature | Set=DOP | EfeitoOficial=Invisibility: Strike 15. | Funcionamento=Efeito oficial: "Invisibility: Strike 15.". Em regras, resolve na janela definida pelo texto, gerando: invisibilityStrike. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:invisibilityStrike:15,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Ario, (Misprint) | Tipo=Creature | Set=DOP | EfeitoOficial=Invisibility: Strike 10. | Funcionamento=Efeito oficial: "Invisibility: Strike 10.". Em regras, resolve na janela definida pelo texto, gerando: invisibilityStrike. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:invisibilityStrike:10,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Ash Torrent | Tipo=Attack | Set=DOP | EfeitoOficial=Challenge Power 15: Deal 10 damage. (Compare the Discipline of the Creature that played this Attack with the opposing engaged Creature. If yours has that amount or more higher, deal the damage.) | Funcionamento=Efeito oficial: "Challenge Power 15: Deal 10 damage. (Compare the Discipline of the Creature that played this Attack with the opposing engaged Creature. If yours has that amount or more higher, deal the damage.)". Em regras, resolve na resolução do ataque, sob condição, gerando: conditionalDamage. | Dano={base:0,fire:5,water:0,air:0,earth:5,mugic:0,adicional:conditionalDamage:10,dano_condicional_por_texto_do_ataque,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:Power 15,elemento:N/A,disciplina:power,combate:interacao_com_ataque,alvo:creature:opposing_engaged, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque_condicional | Alvos=creature:opposing_engaged, creature:engaged | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Attacat | Tipo=Creature | Set=DOP | EfeitoOficial=Swift 1. | Funcionamento=Efeito oficial: "Swift 1.". Em regras, resolve na janela definida pelo texto, gerando: keyword. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Barath Beyond | Tipo=Creature | Set=DOP | EfeitoOficial=Fire 5. Intimidate: Power 10. Recklessness 5. | Funcionamento=Efeito oficial: "Fire 5. Intimidate: Power 10. Recklessness 5.". Em regras, resolve na janela definida pelo texto, gerando: keyword, intimidate, elementModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:intimidate:10,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:fire,disciplina:power,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:concede/remove/modifica_elementos,disciplinas:altera_disciplinas,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Biondu | Tipo=Creature | Set=DOP | EfeitoOficial=Invisibility: Strike 15. | Funcionamento=Efeito oficial: "Invisibility: Strike 15.". Em regras, resolve na janela definida pelo texto, gerando: invisibilityStrike. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:invisibilityStrike:15,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Blazier | Tipo=Creature | Set=DOP | EfeitoOficial=MC: Look at the top two cards of target player's Location Deck. Put one of them on top of that deck and the other on the bottom. | Funcionamento=Efeito oficial: "MC: Look at the top two cards of target player's Location Deck. Put one of them on top of that deck and the other on the bottom.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: scryDeck. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:player:all, player:target} | Custos={mc:0,ativacao:MC,sacrificio:nao,descarte:nao,passivo:nao,sem_custo:nao} | Classificacao=ativo | TriggerExato=activated_ability | Alvos=player:all, player:target | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=olhar_topo,escolha_de_alvo | Duracao=conforme_texto_da_carta
Carta=Blügon | Tipo=Creature | Set=DOP | EfeitoOficial=Water 5. | Funcionamento=Efeito oficial: "Water 5.". Em regras, resolve na janela definida pelo texto, gerando: elementModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:water,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:concede/remove/modifica_elementos,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Bodal | Tipo=Creature | Set=DOP | EfeitoOficial=Support: Wisdom 5. | Funcionamento=Efeito oficial: "Support: Wisdom 5.". Em regras, resolve na janela definida pelo texto, gerando: statModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:wisdom,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Borth-Majar | Tipo=Creature | Set=DOP | EfeitoOficial=Intimidate: Power 10. Intimidate: Wisdom 10. | Funcionamento=Efeito oficial: "Intimidate: Power 10. Intimidate: Wisdom 10.". Em regras, resolve na janela definida pelo texto, gerando: intimidate. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:intimidate:10,intimidate:10,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:power,wisdom,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Brathe | Tipo=Creature | Set=DOP | EfeitoOficial=Invisibility: Strike 15. | Funcionamento=Efeito oficial: "Invisibility: Strike 15.". Em regras, resolve na janela definida pelo texto, gerando: invisibilityStrike. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:invisibilityStrike:15,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Canon of Casualty | Tipo=Mugic | Set=DOP | EfeitoOficial=Deal 20 damage to target Creature. | Funcionamento=Efeito oficial: "Deal 20 damage to target Creature.". Em regras, resolve na janela definida pelo texto, gerando: dealDamage. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:20,adicional:mugic_deal:20,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=conforme_texto_da_carta
